"filepath","filename","longitude","latitude","altitude","gps_date","img_date","parcelno","house_numb","street_nam","street_typ","zipcode","common_nam"
"/Volumes/KD/Vernor4/G0114062.JPG","G0114062.JPG",-83.0136998,42.3561122,152.555,"2017:06:23 21:00:02","2017:06:23 05:00:43","15013268-9","2425","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114063.JPG","G0114063.JPG",-83.0138394,42.3560878,153.47,"2017:06:23 21:00:04","2017:06:23 05:00:45","15013268-9","2425","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114064.JPG","G0114064.JPG",-83.013978,42.3560594,153.759,"2017:06:23 21:00:06","2017:06:23 05:00:47","15013268-9","2425","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114065.JPG","G0114065.JPG",-83.0140977,42.3560352,154.412,"2017:06:23 21:00:08","2017:06:23 05:00:49","15013268-9","2425","BELLEVUE",,"48207",
"/Volumes/KD/Vernor4/G0114037.JPG","G0114037.JPG",-83.0116503,42.3567767,154.638,"2017:06:23 20:59:12","2017:06:23 04:59:53","15010736.","2402","CONCORD",,"48207",
"/Volumes/KD/Vernor4/G0114038.JPG","G0114038.JPG",-83.0117745,42.3567334,154.978,"2017:06:23 20:59:14","2017:06:23 04:59:55","15010736.","2402","CONCORD",,"48207",
"/Volumes/KD/Vernor4/G0114039.JPG","G0114039.JPG",-83.011895,42.3566925,155.092,"2017:06:23 20:59:16","2017:06:23 04:59:57","15010736.","2402","CONCORD",,"48207",
"/Volumes/KD/Vernor4/G0114040.JPG","G0114040.JPG",-83.0120126,42.3566559,155.521,"2017:06:23 20:59:18","2017:06:23 04:59:59","15010736.","2402","CONCORD",,"48207",
"/Volumes/KD/Vernor4/G0114088.JPG","G0114088.JPG",-83.0169016,42.3553189,157.529,"2017:06:23 21:00:54","2017:06:23 05:01:35","15013947.","2444","MT ELLIOTT",,"48207","E & S TRUCK RENTALS"
"/Volumes/KD/Vernor4/G0114089.JPG","G0114089.JPG",-83.0170477,42.3552703,157.593,"2017:06:23 21:00:56","2017:06:23 05:01:37","15013947.","2444","MT ELLIOTT",,"48207","E & S TRUCK RENTALS"
